agent_slug,tool_name,risk_class,decision,policy_version
genesis-ai-vision,billing_deploy_plan_change,payment,DENY,1.0.0
genesis-ai-vision,billing_generate_revops_report,read_only,ALLOW,1.0.0
genesis-ai-vision,billing_get_alerts,read_only,ALLOW,1.0.0
genesis-ai-vision,billing_get_audit_log,read_only,ALLOW,1.0.0
genesis-ai-vision,billing_get_budget_metrics,read_only,ALLOW,1.0.0
genesis-ai-vision,billing_import_ar_ledger,payment,DENY,1.0.0
genesis-ai-vision,code_format,read_only,ALLOW,1.0.0
genesis-ai-vision,commerce_configure_tax_engine,payment,DENY,1.0.0
genesis-ai-vision,commerce_get_alerts,read_only,ALLOW,1.0.0
genesis-ai-vision,commerce_get_audit_log,read_only,ALLOW,1.0.0
genesis-ai-vision,commerce_get_budget_metrics,read_only,ALLOW,1.0.0
genesis-ai-vision,conduit,browser,ALLOW,1.0.0
genesis-ai-vision,data_bigquery_query,read_only,ALLOW,1.0.0
genesis-ai-vision,data_dbt_compile,filesystem_write,ALLOW,1.0.0
genesis-ai-vision,data_get_editor_context,read_only,ALLOW,1.0.0
genesis-ai-vision,data_get_gcp_connection,read_only,ALLOW,1.0.0
genesis-ai-vision,data_list_resource_templates,read_only,ALLOW,1.0.0
genesis-ai-vision,data_pipeline_design,filesystem_write,ALLOW,1.0.0
genesis-ai-vision,data_quality_check,read_only,ALLOW,1.0.0
genesis-ai-vision,data_read_resource,read_only,ALLOW,1.0.0
genesis-ai-vision,data_s3_signed_url,payment,DENY,1.0.0
genesis-ai-vision,domain_check_availability,read_only,ALLOW,1.0.0
genesis-ai-vision,domain_configure_dns,deployment,DENY,1.0.0
genesis-ai-vision,domain_generate_candidates,read_only,ALLOW,1.0.0
genesis-ai-vision,domain_get_cost_summary,read_only,ALLOW,1.0.0
genesis-ai-vision,file_write,filesystem_write,ALLOW,1.0.0
genesis-ai-vision,finance_generate_finance_report,read_only,ALLOW,1.0.0
genesis-ai-vision,finance_get_alerts,read_only,ALLOW,1.0.0
genesis-ai-vision,finance_get_audit_log,read_only,ALLOW,1.0.0
genesis-ai-vision,finance_get_budget_metrics,read_only,ALLOW,1.0.0
genesis-ai-vision,finance_import_x402_transactions,payment,DENY,1.0.0
